"Date Administered",AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,id
"08/23/2022 12:00:00 AM","2 - 4 Years",22.856821685668482,0.063,0.015,211
"08/23/2022 12:00:00 AM","5 - 11 Years",19.672295277355456,0.381,0.31,212
"08/23/2022 12:00:00 AM","12 - 17 Years",20.511710968332356,0.708,0.606,213
"08/23/2022 12:00:00 AM","18 - 24 Years",22.114129291531636,0.8,0.651,214
"08/23/2022 12:00:00 AM","25 - 49 Years",23.87402811780418,0.835,0.706,215
"08/07/2022 12:00:00 AM","2 - 4 Years",29.07241343807029,0.053,0.009,216
"08/23/2022 12:00:00 AM","50 - 64 Years",22.653932456237676,0.941,0.824,217
"08/23/2022 12:00:00 AM","65+ Years",25.998932722961204,0.95,0.921,218
"08/22/2022 12:00:00 AM","<2 Years",20.79812253379912,0.038,0.008,219
"08/22/2022 12:00:00 AM","2 - 4 Years",23.171242874629648,0.063,0.014,220
"08/22/2022 12:00:00 AM","5 - 11 Years",19.465889851056236,0.381,0.31,221
"08/22/2022 12:00:00 AM","12 - 17 Years",19.77105312357256,0.708,0.605,222
"08/22/2022 12:00:00 AM","18 - 24 Years",22.1850397298422,0.799,0.651,223
"08/22/2022 12:00:00 AM","25 - 49 Years",24.335944786894185,0.834,0.706,224
"08/22/2022 12:00:00 AM","50 - 64 Years",23.01263220651182,0.941,0.824,225
"08/22/2022 12:00:00 AM","65+ Years",26.181804197868086,0.95,0.921,226
"08/21/2022 12:00:00 AM","<2 Years",21.198157880575575,0.037,0.007,227
"08/21/2022 12:00:00 AM","2 - 4 Years",23.61001142645681,0.062,0.014,228
"08/21/2022 12:00:00 AM","5 - 11 Years",19.25747561282223,0.38,0.31,229
"08/21/2022 12:00:00 AM","12 - 17 Years",19.07550859395234,0.707,0.605,230
"08/21/2022 12:00:00 AM","18 - 24 Years",22.402025671072515,0.799,0.651,231
"08/21/2022 12:00:00 AM","25 - 49 Years",24.727489271575298,0.834,0.706,232
"08/21/2022 12:00:00 AM","50 - 64 Years",23.39108314556688,0.941,0.824,233
"08/21/2022 12:00:00 AM","65+ Years",26.530105648630045,0.95,0.921,234
"08/20/2022 12:00:00 AM","<2 Years",21.364116817009155,0.037,0.007,235
"08/07/2022 12:00:00 AM","5 - 11 Years",15.51706779025143,0.377,0.307,236
"08/07/2022 12:00:00 AM","12 - 17 Years",15.160929160006006,0.706,0.604,237
"08/20/2022 12:00:00 AM","2 - 4 Years",23.745017134711325,0.062,0.014,238
"08/20/2022 12:00:00 AM","5 - 11 Years",19.06010984022954,0.38,0.309,239
"08/20/2022 12:00:00 AM","12 - 17 Years",18.69632832493113,0.707,0.605,240
"08/20/2022 12:00:00 AM","18 - 24 Years",22.39398915473065,0.799,0.651,241
"08/07/2022 12:00:00 AM","18 - 24 Years",30.60730885611526,0.797,0.65,242
"08/20/2022 12:00:00 AM","25 - 49 Years",24.880667823352564,0.834,0.706,243
"08/07/2022 12:00:00 AM","25 - 49 Years",34.022041033777334,0.833,0.706,244
"08/07/2022 12:00:00 AM","50 - 64 Years",31.373741765275348,0.94,0.823,245
"08/20/2022 12:00:00 AM","50 - 64 Years",23.501417372549934,0.941,0.824,246
"08/07/2022 12:00:00 AM","65+ Years",33.071724853608416,0.95,0.92,247
"08/06/2022 12:00:00 AM","<2 Years",26.865531709829717,0.032,0.004,248
"08/06/2022 12:00:00 AM","2 - 4 Years",28.731346385637835,0.053,0.009,249
"08/20/2022 12:00:00 AM","65+ Years",26.664088073164425,0.95,0.921,250
"08/06/2022 12:00:00 AM","5 - 11 Years",15.104759140636684,0.377,0.307,251
"08/19/2022 12:00:00 AM","<2 Years",21.46815077716155,0.037,0.007,252
"08/19/2022 12:00:00 AM","2 - 4 Years",23.940420133500748,0.062,0.014,253
"08/06/2022 12:00:00 AM","12 - 17 Years",14.713793390964431,0.706,0.604,254
"08/06/2022 12:00:00 AM","18 - 24 Years",30.244247411965187,0.797,0.65,255
"08/06/2022 12:00:00 AM","25 - 49 Years",33.61779780905252,0.833,0.706,256
"08/06/2022 12:00:00 AM","50 - 64 Years",31.4005307339667,0.94,0.823,257
"08/06/2022 12:00:00 AM","65+ Years",33.37853667783803,0.95,0.92,258
"08/05/2022 12:00:00 AM","<2 Years",27.090938623493233,0.032,0.004,259
"08/05/2022 12:00:00 AM","2 - 4 Years",29.14879824668797,0.053,0.009,260
"08/05/2022 12:00:00 AM","5 - 11 Years",15.09270626902797,0.377,0.307,261
"08/05/2022 12:00:00 AM","12 - 17 Years",14.721217101050692,0.706,0.604,262
"08/05/2022 12:00:00 AM","18 - 24 Years",30.582726570834268,0.797,0.65,263
"08/19/2022 12:00:00 AM","5 - 11 Years",18.704047924788796,0.38,0.309,264
"08/05/2022 12:00:00 AM","25 - 49 Years",33.86515868282065,0.833,0.706,265
"08/19/2022 12:00:00 AM","12 - 17 Years",18.131555303753462,0.707,0.605,266
"08/19/2022 12:00:00 AM","18 - 24 Years",22.144384411877475,0.799,0.651,267
"08/19/2022 12:00:00 AM","25 - 49 Years",24.839926032378994,0.834,0.706,268
"08/19/2022 12:00:00 AM","50 - 64 Years",23.452833988652042,0.941,0.824,269
"08/19/2022 12:00:00 AM","65+ Years",26.44104829741094,0.95,0.921,270
"08/18/2022 12:00:00 AM","<2 Years",21.80626114765683,0.037,0.007,271
"08/18/2022 12:00:00 AM","2 - 4 Years",24.036345241997374,0.061,0.013,272
"08/18/2022 12:00:00 AM","5 - 11 Years",18.000461544630134,0.38,0.309,273
"08/05/2022 12:00:00 AM","50 - 64 Years",31.258412984807457,0.94,0.823,274
